text,sense
"in the early days of the campaign the cda of incumbent prime minister jan peter balkenende and the vvd, the smallest coalition [MASK], saw a major lead.",2
"the state secretary, currently karoline edtstadler (övp), could be seen as an overseeing authority (with no direct executive power) for the coalition [MASK] that hasn't obtained the minister post.",2
"the german national association, or ""german national union"" () was a liberal political organisation, precursor of a [MASK], in the german confederation that existed from 1859 to 1867.",2
"most girls gone wild videos follow a common formula in which a film crew interacts with a large crowd of people either at a [MASK], club, or other event.",1
pilpg is frequently called upon to provide legal and political counsel to [MASK] and mediators engaged in peace negotiations.,2
"adverse or adverse interest, in law, is anything that functions contrary to a [MASK]'s interest.",3
"here, if votes were cast as in 2005, this seat would have produced a three-way marginal between the conservative (32.8%), labour (32.6%), and liberal democrats (29.7%) [MASK].",2
", formerly called , is the local [MASK] in okinawa prefecture, japan, seeking an independent ryukyu, the .",2
"confused, she begins acting violently, destroying her father's computer and offending his guests during a [MASK].",1
"zambia's economic system of government is unitary because of that the frederick chiluba government (1991–2001), which came to power after democratic multi-[MASK] elections in november 1991, was committed to extensive economic reform.",2
"the texas caucuses are a political event associated with primaries, the process by which voters in the u.s. state of texas ultimately select their [MASK]' nominees for various offices.",2
"the snp were unable to negotiate a majority coalition government with any other [MASK], but as no other combination of [MASK] were able to agree a deal, the snp chose to form a one-[MASK] minority government, with confidence and supply support from the scottish green [MASK] and the scottish conservative [MASK].",2
he may be required to give a certain number of days' advance notice before he intends to depose a [MASK] or witness.,3
"the pna has a multi-[MASK] system, with numerous [MASK].",2
"the [MASK] of freedom and progress will make efforts to fill a niche in a political spectrum of the country – it shall become the first liberal [MASK] in belarus (united civil [MASK] of belarus already existing in belarus is based on conservative ideas and calls itself ""liberal-conservative"").",1
"the united june movement (turkish: ""birleşik haziran hareketi"", bhh) is a political coalition bringing together left-wing, communist and socialist [MASK], marxist–leninist political organizations, independent individuals and various left-wing non-governmental organizations in turkey.",2
"the german free-minded [MASK] (, dfp) or german radical [MASK] was a short-lived liberal [MASK] in the german empire, founded on 5 march 1884 as a result of the merger of the german progress [MASK] and the liberal union, an 1880 split-off of the national liberal [MASK].",2
"in ""black light attack!"", when he is attending the black light [MASK], he is asked by tracy why his teeth are not glowing, and kenneth replies ""you'll have to ask the fellow who whittled them for me!"".",1
"majoritarian democratic systems contain two dominating [MASK] and, due to the plurality voting system, the winning [MASK] actually concentrates the political power so that there is a clear distinction between the government and the opposition.",1
"anwar haddam () was a leader of the islamic salvation front (fis), an islamist [MASK] in algeria, and was elected to parliament on a fis ticket in 1991 - algeria's first multi[MASK] elections.",2
"as a matter of civil procedure, courts must decide whether and in what circumstances they will accept jurisdiction over [MASK] and subject matter when a lawsuit begins.",3
"the video contrasts shots of the band performing in a white room with shots of a dark, sordid [MASK] at which attendees engage in heterosexual, homosexual, interracial and zoophilic partnerships.",1
"she also wants the [MASK] to have a romantic moment with classmate jimmy pesto jr., the eldest son of bob's business rival, nemesis, and owner of the restaurant across the street, jimmy pesto (jay johnston).",1
"mayotte has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
a house-warming [MASK] is a [MASK] traditionally held soon after moving into a new residence.,1
"the song has been described as a ""[MASK]"" tune with a ""beat-driven"" sound.",1
"an indispensable [MASK] (also called a required [MASK], necessary [MASK], or necessary and indispensable [MASK]) is a [MASK] in a lawsuit whose participation is required for jurisdiction or the purpose of rendering a judgment.",3
"reform movement"") is a liberal [MASK] in guatemala.",2
"according to touraj daryaee, it did not consider itself a [MASK] and was a group of ""hardline rightists partiularly opposed to the democrats"".",2
"as is usual in powell’s fiction, the settings are often restaurants, [MASK], and private apartments (though a berlin film studio also figures significantly), with social behaviour in such surroundings the sustained focus of comically critical and detailed attention.",1
"the social liberal movement (, slb; , msl; , msl) is a social conservative [MASK] in switzerland.",2
"they can be found in governments, [MASK], ngos, civil society organizations or interest groups.",2
"the official music video, filmed in miami beach, features mane and pump as ""rockstars"" in a yacht [MASK], where they are seen with bikini-wearing guests with pump riding a jet ski before him and mane exiting via a rolls-royce.",1
at the same time no [MASK] should be allowed an advantage over an other through the use of an advocate.,3
"in addition, the bundestag has a minimum threshold of either 5% of the national [MASK] vote or three (directly elected) constituency representatives for a [MASK] to gain additional representation through the system of proportional representation.",2
"this is a coverage that is used around the world at occasions such as weddings, christenings, naming ceremonies, [MASK], birthdays, formals, dances, ceremonies, award ceremonies, funerals, meals and engagements.",1
the two nights of the festival can be interpreted as a large house and street [MASK] with several stages and balcony-raves which ten-thousands of people attend.,1
"the third [MASK], a community group called truth about motorways, sought a writ of prohibition against macquarie infrastructure investment management ltd to stop the publishing of a prospectus calling for investors in a new toll road proposal in sydney.",3
"their main activity is organising and attending [MASK] or festivals (for example, the 24 hours bike ride of louvain-la-neuve or the st v).",1
"the doctrine of direct estoppel prevents a [MASK] to a litigation from relitigating an issue that was decided against that [MASK] in that litigation, under certain circumstances.",3
administrative resource is the ability of political candidates (and [MASK]) to use their official positions or connections to government institutions to influence the outcome of elections.,2
"new caledonia has a multi-[MASK] system, with multiple strong [MASK].",2
"– march 24, 1996) was an italian politician and syndicalist, member of italy's centrist [MASK] ""christian democracy"" and of the italian chamber of deputies and founder of the first trade union in udine, a branch of the italian confederation of workers' trade unions.",2
the international meeting of communist and workers' [MASK] (imcwp) is an annual conference attended by communist and workers' [MASK] from several nations.,2
the samoa progressive political [MASK] is a small [MASK] of samoa.,2
"the netherlands antilles had (before its dissolution) a multi-[MASK] system, with numerous [MASK] to form coalition governments after the elections.",2
"subjects commonly lampooned include medicine, office life, [MASK], marriage, psychiatry, shopping, school and other everyday activities.",1
"in merkel's vision of embedded democracy, citizens are able to form independent interest groups and organize [MASK] to help them express their political preferences.",2
"money booths are often used as eyecatchers at trade fairs, promotional events, and fundraisers, at [MASK] such as bar and bat mitzvah celebrations and at corporate entertainment events and other group events, and in casinos.",1
"ray is reluctant, but eventually tells them that there is no [MASK] and makes up a story that debra and he are going to bear mountain.",1
"during combat and exploration, players are accompanied by different companions, who can be recruited into hawke's [MASK].",1
"however, opinions decided by the court may be reviewed by the arkansas supreme court under three circumstances: on application by a [MASK] to the appeal, upon certification of the arkansas court of appeals, or if the arkansas supreme court decides the case is one that should have originally been assigned to it.",3
"ukip indicated that it would consider taking legal action were the [MASK] excluded, in contravention of established broadcast media rules, from televised [MASK] leaders' debates in advance of the 2015 general election.",2
"jarrett held a celebratory [MASK] on the march 18 episode of ""impact!"", which was attended by daggett, brown, candido and the naturals.",1
"the liberal [MASK] dealt with in the timeline below are, largely, those which received sufficient support at one time or another to have been represented in parliament.",2
"a nature reserve, kincumba mountain, is located within the suburb and is often used by the community for various functions, including picnicking, bush-walking, orienteering, [MASK], and carnivals.",1
"while most members focused on football from the start in 1904, committees were also created for winter sports and [MASK].",1
it became a popular song played at [MASK] at the time.,1
"a concurrent use registration, in united states trademark law, is a federal trademark registration of the same trademark to two or more unrelated [MASK], with each [MASK] having a registration limited to a distinct geographic area.",3
the [MASK] breakdown is as follows:,2
"although minor [MASK] are ""de jure"" allowed to rule, they are ""de facto"" required to accept the leadership of the dominant [MASK].",2
"this was intended to ensure the balance of power remained with the company, rather than the settlers, but with no other group from which to appoint its members, the council quickly became dominated by men from the same prominent local families that filled the assembly, and political power rested firmly with this emerging local elite and their descendants until the introduction of universal adult suffrage and [MASK] politics in the 1960s.",2
in addition the commission required all delegate selection procedures to be open; [MASK] leaders could no longer handpick the convention delegates in secret.,2
"sewer service is an epithet for the intentional failure to provide service of process on a named [MASK] in a lawsuit, in order to prevent the [MASK] from having a chance to respond.",3
"many consultants work not only for campaigns, but also for [MASK] and political action committees, while some focus on public relations and research work.",2
opposition [MASK] are allowed as part of a multi-[MASK] political system,2
"bulgaria has a multi-[MASK] system, in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each to form governments.",2
"in pre-trial discovery, [MASK] may have the right to inspect documents that are relevant to the case.",3
the reason for the sophomore surge is attributed to the fact that congressmen have figured out how to run personal campaigns rather than [MASK] campaigns.,2
"the born science of the folklore, which studies in a scientific way the popular traditions, deals in compiling, classifying and studying traditional lyric, short stories, coplas, music, games, superstitions and beliefs, sayings, handicraft, gastronomy, ceremonies, rites, folklore, [MASK], legends, songs, dances and vulgar romances, area in which stand out a few experts like agustín durán, antonio machado álvarez, francisco rodríguez marín, eusebio vasco and many others.",1
"on april 23, 2019, anna met with uk [MASK] leaders, such as jeremy corbyn in the first talks of its kind in more than a decade pushing them to commit to and agree upon some positive first steps to start addressing the climate crisis.",2
these are the overall [MASK] results of the elections to the various county councils of sweden.,2
"it may include pubs, bars, nightclubs, [MASK], live music, concerts, cabarets, theatre, cinemas, and shows.",1
"(, ""akhali memarjveneebi""), also translated as new conservative [MASK] (ncp), is a liberal conservative [MASK] in georgia.",2
"the sheriff appeal court can ""remit"" an appeal to the inner house under section 112 of the courts reform (scotland) act 2014 provided an application is made by a [MASK] to the case and,once remitted the case is treated as though the appeal began with the court of session.",3
"it often occurs the morning after a night out at a bar, nightclub, or [MASK].",1
"because the [MASK] caucus leaders in california's legislature also control the [MASK]'s legislative campaign funds and the majority [MASK] leaders control legislative committee and office assignments, the leaders wield tremendous power over their caucus members.",2
the entry of a decree by a court in respect to the [MASK] in a case.,3
"in following years, the primary election to select [MASK] candidates was adopted in 1904, and in 1908 the oregon constitution was amended to include recall of public officials.",2
"this is the leader of the largest [MASK] not within the government, usually the leader of the second largest [MASK] in the parliament.",2
"its versatility is evident in its inevitable presence at funerals and, on the other hand, many angolan [MASK].",1
an adverse [MASK] is an opposing [MASK] in a lawsuit under an adversary system of law.,3
"the majority whip is an elected member of the majority [MASK] who assists the speaker of the house and the majority leader to coordinate ideas on, and garner support for, proposed legislation.",2
"it is limited to liberal democratic [MASK] with substantial support, mainly proven by having had a representation in parliament.",2
the [MASK]'s state executive committee discussed removing him from the [MASK].,2
india has a number of current and historical communist [MASK].,2
"steve turns to roger for help, who suggests he go to a [MASK] to get laid.",1
the [MASK] registered with the oireachtas in january 2014.,2
"the first maoist [MASK], which took the name of the old communist [MASK] of switzerland (cps), originated in switzerland in 1963 but later disintegrated.",2
"clubbing and raves have historically referred to grass-roots organized, anti-establishment and unlicensed all night dance [MASK], typically featuring electronically produced dance music, such as techno, house, trance and drum and bass.",1
"later at the mall, drake tells josh that he will be throwing a christmas [MASK] on the roof of his workplace the premiere, which josh is unsure of, but helen (yvette nicole brown) approves.",1
"for instance, there is typically a minister from each province in canada, ministers from visible minority groups, female ministers and, while the majority of those chosen to serve as ministers of the crown are members of parliament, a cabinet sometimes includes a senator, especially as a representative of a province or region where the governing [MASK] won few or no ridings.",2
"while they should not observe the game in order for it to be fair, in practice they often do to ensure that every participant has a turn, that prizes are well distributed and perhaps that the child whose [MASK] it is claims the main prize (or to ensure that a ""guest"" claims the prize).",1
"it is limited to communist, socialist, and social-democratic [MASK] with substantial support, mainly proved by having had a representation in parliament.",2
"this includes [MASK], card games, and temporary seating at the dinner table.",1
"kosovo has a multi-[MASK] system, with numerous [MASK] and the system of proportional representation and guaranteed minority representation means that no one [MASK] is likely to have a parliamentary majority.",2
"birthe johanne sparrevohn rønn hornbech (born 18 october 1943 in copenhagen) is a danish politician, member of the folketing (the national parliament of denmark) for venstre, the liberal [MASK], elected in the constituency of køge, and former minister for refugees, immigrants and integration and for ecclesiastical affairs.",2
baked goods are normally served at all kinds of [MASK] and special attention is given to their quality at formal events.,1
frequently the most desired witness (the deponent) is an opposite [MASK] to the action.,3
"several soviet delegations visited lusaka with a view to turn unip into a marxist-leninist [MASK], and unip officials made reciprocal visits to moscow.",1
"nagorno karabakh has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"the faroe islands have a multi-[MASK] system (disputing on independence and unionism as well as left and right), with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"in most legal proceedings, one [MASK] has a burden of proof, which requires it to present ""prima facie"" evidence for all of the essential facts in its case.",3
"in recent years, however, buffet meals are increasingly popular among hosts of home dinner [MASK], especially in homes where limited space complicates the serving of individual table places.",1
the uncertainty between the [MASK] lies in the facts.,3
"the general partner owes no fiduciary duty to the limited partners; however, many mlps have incentive distribution rights, which are designed to align the interests of all [MASK].",1
"the consent decree can impact those outside of the [MASK], who resolve their disputes with a consent decree, especially in settling institutional reform and antitrust cases.",3
"this means that [MASK] may nominate candidates in primary elections, but [MASK] designations for the candidates are not permitted on the general election ballot.",2
"the band's official debut performance took place at the annual seedless clothing 420 [MASK] at the belly up tavern in solana beach, california in april 2009.",1
"in the practice of law, judicial estoppel (also known as estoppel by inconsistent positions) is an estoppel that precludes a [MASK] from taking a position in a case that is contrary to a position it has taken in earlier legal proceedings.",3
"she also arranges a launch [MASK] for the press, her family, and her friends.",1
players must choose between story and [MASK] modes that provide a different perspective of the bicycle racing lifestyle.,1
there were 33 different [MASK] and 13 independent candidates competing for 325 assembly seats.,2
the losing [MASK] may appeal a decision by either a board of contract appeals or the united states court of federal claims to the court of appeals for the federal circuit.,3
"the chamber has to inform all [MASK] involved that an investigation is being carried out, except for situations in which such information could harm the investigations.",3
"in the law of the united states, diversity jurisdiction is a form of subject-matter jurisdiction in civil procedure in which a united states district court in the federal judiciary has the power to hear a civil case when the amount in controversy exceeds $75,000 and where the persons that are [MASK] are ""diverse"" in citizenship or state of incorporation (for corporations being legal persons), which generally indicates that they differ in state and/or nationality.",3
the chief whip is a political office in some legislatures whose task is to administer the whipping system that tries to ensure that members of the [MASK] attend and vote as the [MASK] leadership desires.,2
"in law, an allegation is a claim of a fact by a [MASK] in a pleading, charge, or defense.",3
the civic freedom [MASK] () was one of the two inter-war liberal [MASK] in hungary.,2
a demurrer is a pleading in a lawsuit that objects to or challenges a pleading filed by an opposing [MASK].,3
"in 1976 he joined reforma democrática, which later merged into alianza popular, both right-wing [MASK].",2
the general election at the end of february 1974 resulted in a hung parliament where labour had slightly more seats than any other [MASK] but no overall majority.,2
"beyond their lurid sexual details, both cases introduce paradoxes about the respective responsibility of the [MASK], the legal differences between consensual homicide and suicide.",3
"green beer day (gbd) is a day-long [MASK], where celebrants drink beer dyed green with artificial coloring or natural processes.",1
"due to midnight regulations, since 1948, during the period between a presidential election and the inauguration of a president of a different [MASK], the federal register has averaged 17 percent more pages than during the same period in non-election years.",2
"for 2015–2019, the [MASK] breakdown is as follows:",2
"miscellaneous left (', ""dvg"") in france refers to left-wing candidates who are not members of a large [MASK].",1
"the book has been translated into approximately 20 languages and is dedicated ""to the socialists of all [MASK]"".",2
"the unique aspect of the parliamentary system which creates the desire to hold leaders' debates is that the [MASK] leader is usually the [MASK]'s presumed candidate to lead the government, because by constitutional convention he or she will usually become prime minister or premier if his or her [MASK] wins the most seats.",2
"in a preferential voting system, a voter can feel more inclined to vote for a minor [MASK] or independent as their first choice and they can record a preference between the remaining candidates, whether they are in a major or established [MASK] or not.",2
"india took a firm stand against the ctbt and refusing to be signatory [MASK] of it despite under pressure by the us president bill clinton, and noted the treaty as it was not consistent with india's national security interest.",2
"a creditor is a [MASK] (e.g., person, organization, company, or government) that has a claim on the services of a second [MASK].",3
most [MASK] supply stores carry paper and metallic confetti.,1
"each region is a group of constituencies, and the d'hondt method of allocating additional member seats from [MASK] lists is used to produce a form of proportional representation for each region.",2
"as an mp in his constituency he enjoyed a popular following, and reports that he received support from others who would normally have voted for candidates from other [MASK] were often cited.",2
