text,sense
"opposition [MASK] were allowed, but were widely considered to have no real chance of gaining power.",2
"papua new guinea has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
charger plates or service plates are large plates used at full course dinners or to dress up special events like [MASK] and weddings.,1
"most recently, the week has also signed a partnership with matinee group in spain, which has already brought [MASK] to brazil and will be able to host the week [MASK] with a brazilian flair throughout europe.",1
"although minor [MASK] were allowed, they were legally required to accept the leadership of the dominant [MASK].",2
"iceland has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, so [MASK] must work with each other to form coalition governments.",2
"in 2007, savvidis was re-elected as a deputy in the state duma as a member of the [MASK] united russia led by chairman vladimir putin, serving until 2011.",1
"panama has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"in contract law, the [MASK] are free to include a forum selection clause appointing a special referee to resolve specialised but disputed factual issues between them.",3
the last council [MASK] breakdown was as follows:,2
"following the publication of the arrest, greece's ruling coalition junior partner democratic left and the greek communist [MASK] strongly denounced the arrest while leftist primary opposition [MASK] syriza raised a second question to the parliament, this time concerning the legality of the arrest and the freedom of expression.",2
"in politics, the term base refers to a group of voters who almost always support a single [MASK]'s candidates for elected office.",2
"elefantenrunde, literally ""elephants' round-table"", is a german language term for a television debate in which the leaders of [MASK] with representation in parliament participate.",2
the patriotic bloc was a centre-rightist coalition of [MASK] which ran undisputed the sammarinese election of 1923.,1
barnes suggests that elah was attending a private [MASK] at the time of his assassination.,1
reid wrote sexually explicit versions of hit songs for fun but only performed them for his friends at [MASK] or in the studio.,1
"serbia has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"traditionally many common law jurisdictions considered a person's domicile to be a determinative factor in the conflict of laws and would, for example, only recognize a divorce conducted in another jurisdiction if at least one of the [MASK] were domiciled there at the time it was conducted.",3
"it is limited to conservative [MASK] with substantial support, mainly proved by having had a representation in parliament.",2
"a politician is a person active in [MASK] politics, or a person holding or seeking office in government.",2
thompson received some media attention in the aftermath of the 2007 election because he pointed out to the returning officer that the number of additional members for each [MASK] had been wrongly calculated.,2
"on september 11, 2011, the owp initiated a rally opposite the presidential palace in warsaw and wrote a collective letter to the law and justice [MASK] (pis) leader jarosław kaczyński.",1
the senate of puerto rico majority and minority leaders are puerto rican senators who are elected by the [MASK] conferences that hold the majority and the minorities respectively.,2
"wallis and futuna has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"adnan al-hakim (died may 26, 1990) was the leader of the najjadeh [MASK], an arab nationalist [MASK] in lebanon, for more than 30 years.",2
politicians from the two main [MASK] tend to win elections when not confronted by strong challengers from their own [MASK] (in which cases their traditional opponents tend to win).,2
"historically, venezuela has had two major [MASK], along with numerous other minor [MASK].",2
"(in ikavian) or selo (in ekavian) is the name of an evening gathering at a house, a social event (i.e. a [MASK]), in former yugoslavia.",1
"larry fink (born march 11, 1941) is an american photographer best known for his black-and-white images of people at [MASK] and in other social situations.",1
"the piece opens at a [MASK], where a man offers the player a bottle of a mysterious green fluid.",1
"unlike communities, where problems arise and are solved by those within the group, [MASK] are formed when individuals seek out support beyond their immediate spatial environment.",1
